Last_name,first_name,middle_name,UID,Applicants_only_sem,email,birthdate,major,program_code,advisor,street1,street2,street3,city,state,zip,country,degree_name,Applicants_only_GRE_v,Applicants_only_GRE_a,Applicants_only_GRE_q,Applicants_only_GRE_v_percentile,Applicants_only_GRE_a_percentile,Applicants_only_GRE_q_percentile,Applicants_only_rating,Applicants_only_TWE,Applicants_only_TOEFL,Applicants_only_GMAT,Applicants_only_MAT_Miller,Applicants_only_MAT_New_Miller_New_Score_range,Applicants_only_LSAT,Certification_if_applicable,Special_Program_if_applicable,Applicants_only_GRE_Subject_Score,Applicants_only_GRE_Subject_Percentile,Applicants_only_GRE_Subject_Name,Applicants_only_Dept_Admission_Dec,Applicants_only_GS_Admission_Dec,Applicants_only_Dept_provision_codes,Applicants_only_GS_provision_codes,Applicants_only_GPA_Undergrad,Home_Phone,Work_Phone,Is_International,Applicants_only_ASF_Submit,Applicants_only_Recommendation_1_Name,Applicants_only_Recommendation_1_Received,Applicants_only_Recommendation_2_Name,Applicants_only_Recommendation_2_Received,Applicants_only_Recommendation_3_Name,Applicants_only_Recommendation_3_Received,Local_address_street1,Local_address_street2,Local_address_street3,Local_address_city,Local_address_state,Local_address_zip,Local_address_country,Applicants_only_Num_Publications,Last_Undergrad_Univ_code,Applicants_only_Last_Undergrad_univs_Tier,Last_Undergrad_univs_Long_Name,Applicants_only_Last_Undergrad_univs_ASF_entered_GPA,Applicants_only_Last_Undergrad_Univ_ASF_entered_Major_Department,Applicants_only_Last_Undergrad_if_available_Transcript_Received,Applicants_only_Last_Graduate_Univ_code,Applicants_only_Last_Graduate_univs_Tier,Applicants_only_Last_Graduate_univs_Long_Name,Applicants_only_Last_Graduate_univs_ASF_entered_GPA,Applicants_only_Last_Graduate_Univ_ASF_entered_Major_Department,Applicants_only_Last_Graduate_if_available_Transcript_Received,Applicants_only_Research_Interest_1,Applicants_only_Research_Interest_2,Applicants_only_Research_Interest_3,Applicants_only_Research_Interest_4,visa,sex,race,citizenship,Applicants_only_Interview_Audition_Scheduled_Date,Applicants_only_Interview_Audition_Scheduled_Location,Applicants_only_Interview_Audition_Primary_Request_Date,Applicants_only_Interview_Audition_Secondary_Request_Date,Applicants_only_ASF_Checkbox_reponse,Applicants_only_ASF_TextBox_1_reponse,Applicants_only_ASF_TextBox_2_reponse,Applicants_only_ASF_TextBox_3_reponse,Applicants_only_ASF_TextBox_4_reponse,Applicants_only_ASF_TextBox_5_reponse,Minor,Hometown,hobbies,Buckley_Confidentiality_Code,Birthday,Applicants_only_Evaluations_1,Applicants_only_Evaluations_2,Applicants_only_Evaluations_3,Applicants_only_Evaluations_4,Applicants_only_Evaluations_5,Applicants_only_Evaluations_6,Applicants_only_Evaluations_7,Applicants_only_Evaluations_8,Applicants_only_Evaluations_9,Applicants_only_Evaluations_10,Applicants_only_Evaluations_11,Applicants_only_Evaluations_12,Applicants_only_Evaluations_13,Applicants_only_Evaluations_14,Applicants_only_Aid_Request,Financial_Aid_this_sem_1_Semester,Financial_Aid_this_sem_1_Department_offering,Financial_Aid_this_sem_1_PHR_ID,Financial_Aid_this_sem_1_Type,Financial_Aid_this_sem_2_Semester,Financial_Aid_this_sem_2_Department_offering,Financial_Aid_this_sem_2_PHR_ID,Financial_Aid_this_sem_2_Type,forFuture1,forFuture2,forFuture3,forFuture4,forFuture5,forFuture6,forFuture7,forFuture8,forFuture9,forFuture10,forFuture11,forFuture12,forFuture13,forFuture14,forFuture15,forFuture16,forFuture17,forFuture18,forFuture19,forFuture20
"HOLMES","CAROLE",,"a1023b802x830",201401,,"Apr 07, 1999","ENGY","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Asian","USA",,,,,,,,,,,"ENV-EN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RICE","BRANDY",,"a1024b803x831",201401,,"Apr 05, 1998","IDEV","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Asian","USA",,,,,,,,,,,"SOC-INEQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ROBERTSON","OLGA",,"a1025b804x832",201401,,"Apr 07, 2001","ISEP","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Asian","USA",,,,,,,,,,,"ISEP-FIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HUNT","BILLIE",,"a1030b809x837",201401,,"Apr 07, 1999","ENV","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Caucasian","USA",,,,,,,,,,,"ISEP-DEV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BLACK","DIANNE",,"a1031b810x838",201401,,"Apr 07, 2001","SOC","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Caucasian","USA",,,,,,,,,,,"SOC-HOU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DANIELS","TRACEY",,"a1035b814x842",201401,,"Apr 07, 1997","EDUC","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Caucasian","USA",,,,,,,,,,,"SOC-EDU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PALMER","LEONA",,"a1036b815x843",201401,,"Apr 07, 2001","IDEV","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Caucasian","USA",,,,,,,,,,,"ISEP-DEV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MILLS","JENNY",,"a1037b816x844",201401,,"Apr 07, 1999","ISEP","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Caucasian","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NICHOLS","FELICIA",,"a1043b822x850",201401,,"Apr 07, 1999","SOC","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Caucasian","USA",,,,,,,,,,,"SOC-INEQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GRANT","SONIA",,"a1047b826x854",201401,,"Apr 05, 1998","EDUC","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Caucasian","USA",,,,,,,,,,,"ISEP-NPM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KNIGHT","MIRIAM",,"a1049b828x856",201401,,"Apr 05, 1998","IDEV","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Hispanic","USA",,,,,,,,,,,"ISEP-DEV",,,,,,,,,,,,,,,,,,,,,,,,,,,," subsequent semesters may have initially been offered)",,,,,,,,,,,,,,,,,,,
"FERGUSON","VELMA",,"a1052b831x859",201401,,"Apr 07, 2001","IDEV","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","African American","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ROSE","BECKY",,"a1055b834x862",201401,,"Apr 07, 1999","SOC","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Hispanic","USA",,,,,,,,,,,"SOC-EDU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"STONE","BOBBIE",,"a1059b838x866",201401,,"Apr 07, 2001","EDUC","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Hispanic","USA",,,,,,,,,,,"MFL-PUB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HAWKINS","VIOLET",,"a1060b839x867",201401,,"Apr 07, 1999","IDEV","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Caucasian","USA",,,,,,,,,,,"MFL-MULTI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DUNN","KRISTINA",,"a1061b840x868",201401,,"Apr 07, 1999","IDEV","MAMG","Professor Williams",,,,,,,,"M.P.M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Caucasian","USA",,,,,,,,,,,"CORE-POL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PERKINS","TONI",,"a1064b843x871",201401,,"Apr 07, 1999","IDEV","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Asian","USA",,,,,,,,,,,"SOC-EDU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HUDSON","MISTY",,"a1067b846x874",201401,,"Apr 07, 1997","SOC","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Caucasian","USA",,,,,,,,,,,"SOC-EDU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SPENCER","MAE",,"a1069b848x876",201401,,"Apr 05, 1998","LM","MAMG","Professor Williams",,,,,,,,"M.P.M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Caucasian","USA",,,,,,,,,,,"MFL-NON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GARDNER","SHELLY",,"a1071b850x878",201401,,"Apr 07, 1999","EDUC","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Caucasian","USA",,,,,,,,,,,"SOC-EDU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"STEPHENS","DAISY",,"a1072b851x879",201401,,"Apr 07, 1997","IDEV","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Asian","USA",,,,,,,,,,,"ISEP-DEV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PAYNE","RAMONA",,"a1073b852x880",201401,,"Apr 07, 1997","IDEV","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Caucasian","USA",,,,,,,,,,,"ISEP-DEV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PIERCE","SHERRI",,"a1076b855x883",201401,,"Apr 05, 1998","IDEV","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Caucasian","USA",,,,,,,,,,,"ISEP-DEV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BERRY","ERIKA",,"a1078b857x885",201401,,"Apr 07, 2001","ENV","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Hispanic","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MATTHEWS","KATRINA",,"a1083b862x890",201401,,"Apr 07, 1999","EDUC","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Asian","USA",,,,,,,,,,,"MFL-LM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARNOLD","CLAIRE",,"a1084b863x891",201401,,"Apr 05, 1998","IDEV","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Caucasian","USA",,,,,,,,,,,"SOC-COM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WAGNER","LINDSEY",,"a1085b864x892",201401,,"Apr 07, 2001","IDEV","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","African American","USA",,,,,,,,,,,"ISEP-DIP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WILLIS","LINDSAY",,"a1087b866x894",201401,,"Apr 07, 1999","ISEP","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Caucasian","USA",,,,,,,,,,,"ISEP-SEC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RAY","GENEVA",,"a1088b867x895",201401,,"Apr 07, 1999","IDEV","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Caucasian","USA",,,,,,,,,,,"ISEP-DEV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WATKINS","GUADALUPE",,"a1090b869x897",201401,,"Apr 07, 1999","ENV","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Asian","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OLSON","BELINDA",,"a1095b874x902",201401,,"Apr 07, 1997","EDUC","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Caucasian","USA",,,,,,,,,,,"SOC-EDU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CARROLL","MARGARITA",,"a1097b876x904",201401,,"Apr 07, 1999","IDEV","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Hispanic","USA",,,,,,,,,,,"ISEP-DIP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DUNCAN","SHERYL",,"a1099b878x906",201401,,"Apr 05, 1998","ISEP","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Caucasian","USA",,,,,,,,,,,"ISEP-DIP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SNYDER","CORA",,"a1100b879x907",201401,,"Apr 07, 1997","IDEV","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Caucasian","USA",,,,,,,,,,,"SOC-HOU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HART","FAYE",,"a601b380x408",201401,,"Apr 07, 1999","SOC","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Asian","USA",,,,,,,,,,,"SOC-POV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CUNNINGHAM","ADA",,"a602b381x409",201401,,"Apr 05, 1998","EDUC","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Caucasian","USA",,,,,,,,,,,"CORE-COMM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRADLEY","NATASHA",,"a604b383x411",201401,,"Apr 05, 1998","IDEV","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Caucasian","USA",,,,,,,,,,,"ISEP-HUM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LANE","SABRINA",,"a605b384x412",201401,,"Apr 07, 2001","ISEP","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Caucasian","USA",,,,,,,,,,,"ISEP-SEC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ANDREWS","ISABEL",,"a607b386x414",201401,,"Apr 07, 1999","SOC","MAPO","Professor Williams",,,,,,,,"M.P.P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MD",,"USA",,,,,,,,,,,,,,,,,,"CB","F","Caucasian","USA",,,,,,,,,,,"SOC-INEQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
